split,test_start,mu_state_0,count_state_0,mu_state_1,count_state_1,mu_state_2,count_state_2,monotone,separation_lo_hi,persistence
2005-02-03_2011-02-02,2011-02-03,0.007481015633118552,713,0.009743501016480277,581,0.02786898348906456,217,True,0.02038796785594601,0.7030869562005814
2006-02-03_2012-02-02,2012-02-03,0.008084518460475431,644,0.010179301198366403,571,0.025930342888618077,296,True,0.017845824428142646,0.7011838366706273
2007-02-05_2013-02-01,2013-02-03,0.008714072746403699,629,0.010266094741006574,586,0.025965788301054088,295,True,0.01725171555465039,0.6785113933714113
2008-02-04_2014-01-31,2014-02-03,0.0069063734077201115,748,0.013125037455462056,583,0.031173867146296424,179,True,0.024267493738576312,0.9702180905005715
2009-02-03_2015-02-02,2015-02-03,0.007057483097661522,741,0.008354856795586897,477,0.0186490526838837,292,True,0.011591569586222178,0.7118912009621173
2010-02-03_2016-02-02,2016-02-03,0.0068274121288364195,725,0.007827787654420106,532,0.016617203489809215,253,True,0.009789791360972796,0.6803952004624336
2011-02-03_2017-02-02,2017-02-03,0.006519967141851891,749,0.007633856362058737,551,0.016423215554245873,210,True,0.009903248412393982,0.6910452887167385
2012-02-03_2018-02-02,2018-02-03,0.0043153343989862465,539,0.007201111613764162,510,0.009452420384795535,461,True,0.005137085985809289,0.7891455512986392
2013-02-04_2019-02-01,2019-02-03,0.0051294540182606815,575,0.005712751148157217,506,0.011782998447882923,429,True,0.006653544429622241,0.6804180026467558
2014-02-03_2020-01-31,2020-02-03,0.004096917575329943,543,0.006749853456768547,544,0.011913034260890923,423,True,0.007816116685560981,0.9544654883937179
2015-02-03_2021-02-02,2021-02-03,0.0053580044207395166,930,0.012262369903115125,515,0.031226103062496378,66,True,0.025868098641756862,0.9018107625993995
2016-02-03_2022-02-02,2022-02-03,0.004864845212628334,790,0.010839254553321315,650,0.029838685065011097,72,True,0.024973839852382763,0.8782876428919967
2017-02-03_2023-02-02,2023-02-03,0.005118149266134808,716,0.012565904146169565,715,0.029507182124387424,79,True,0.024389032858252616,0.8793759371451468
2018-02-05_2024-02-02,2024-02-03,0.006153913299242226,717,0.012751192104296248,705,0.02819806505770163,87,True,0.022044151758459404,0.8931475562893914
2019-02-04_2025-01-31,2025-02-03,0.006341697409168935,768,0.011223959215011167,557,0.022744129430232303,183,True,0.016402432021063368,0.964879370571723
