split,test_start,mu_state_0,count_state_0,mu_state_1,count_state_1,mu_state_2,count_state_2,mu_state_3,count_state_3,monotone,separation_lo_hi,persistence
2005-02-03_2011-02-02,2011-02-03,0.0052371540458684895,534,0.010593535768982996,732,0.025286303112681527,230,0.04503663298729987,15,True,0.03979947894143138,0.7986040100992786
2006-02-03_2012-02-02,2012-02-03,0.005073502933268007,367,0.010972823526547817,480,0.012339884641551824,486,0.03128133462245983,178,True,0.026207831689191823,0.7337393226512872
2007-02-05_2013-02-01,2013-02-03,0.008593344168002306,627,0.010181749236087275,568,0.024510421806650598,295,0.037757801606589494,20,True,0.02916445743858719,0.5514796763620425
2008-02-04_2014-01-31,2014-02-03,0.007527132054749048,881,0.009099055820766469,77,0.014859565908260236,387,0.03221396193797844,165,True,0.02468682988322939,0.7270571911599277
2009-02-03_2015-02-02,2015-02-03,0.005377148556712646,512,0.009151365663948608,411,0.009531522944182537,330,0.019457864319284774,257,True,0.014080715762572128,0.7444097199234472
2010-02-03_2016-02-02,2016-02-03,0.006866038306352069,794,0.007813195769977656,201,0.0079375872617336,256,0.01646447955392579,259,True,0.009598441247573721,0.5022847227662453
2011-02-03_2017-02-02,2017-02-03,0.006614151219702442,809,0.007489338146048616,215,0.007723656621417794,274,0.01632663942794745,212,True,0.009712488208245006,0.5065218330010962
2012-02-03_2018-02-02,2018-02-03,0.004047377557427174,423,0.0066586880311845795,106,0.006881447180887413,637,0.01033358857308578,344,True,0.006286211015658605,0.643389089828776
2013-02-04_2019-02-01,2019-02-03,0.0047266228079050655,489,0.00522552760540636,419,0.008247961500174532,275,0.01261770777776874,327,True,0.007891084969863675,0.7352305176518726
2014-02-03_2020-01-31,2020-02-03,0.0040947997076452095,544,0.006726364943741108,538,0.00981849287702179,66,0.01226901686648608,362,True,0.00817421715884087,0.7394119566695142
2015-02-03_2021-02-02,2021-02-03,0.005314194656398007,769,0.006011151111227939,167,0.012156928937369901,514,0.03311226251415638,61,True,0.027798067857758374,0.6543542886629892
2016-02-03_2022-02-02,2022-02-03,0.004614411688484645,681,0.009128486945058457,305,0.010971145884828495,466,0.033299527364751426,60,True,0.028685115676266783,0.7091661460262566
2017-02-03_2023-02-02,2023-02-03,0.0049548061307245934,680,0.012229563948448164,86,0.012334832796302536,673,0.031801839246753436,71,True,0.026847033116028842,0.6908504436677543
2018-02-05_2024-02-02,2024-02-03,0.006117364211259987,700,0.01265322737505771,667,0.012491696832393581,75,0.03278273223329212,67,False,0.026665368022032128,0.7076754033417882
2019-02-04_2025-01-31,2025-02-03,0.0058473271724955814,598,0.009250516376625832,276,0.012271887808350937,553,0.030224030266868124,81,True,0.024376703094372544,0.7960345343742193
