ticker,horizon,loss,model,in_mcs,mcs_p,set_size
AAPL,1,mse,ewma,False,0.0335,1
AAPL,1,mse,garch11,False,0.0335,1
AAPL,1,mse,gbm_gated,False,0.0335,1
AAPL,1,mse,gbm_pooled,False,0.0335,1
AAPL,1,mse,har,False,0.0335,1
AAPL,1,mse,regime_features,False,0.0435,1
AAPL,1,mse,regime_normal,False,0.0335,1
AAPL,1,mse,regime_shrunk,False,0.0335,1
AAPL,1,mse,ridge,True,1.0,1
AAPL,1,qlike,ewma,True,0.103,9
AAPL,1,qlike,garch11,True,0.103,9
AAPL,1,qlike,gbm_gated,True,0.103,9
AAPL,1,qlike,gbm_pooled,True,0.103,9
AAPL,1,qlike,har,True,0.103,9
AAPL,1,qlike,regime_features,True,0.103,9
AAPL,1,qlike,regime_normal,True,0.103,9
AAPL,1,qlike,regime_shrunk,True,0.103,9
AAPL,1,qlike,ridge,True,0.103,9
AAPL,5,mse,ewma,True,0.7905,6
AAPL,5,mse,garch11,True,0.7905,6
AAPL,5,mse,gbm_gated,False,0.052,6
AAPL,5,mse,gbm_pooled,False,0.0575,6
AAPL,5,mse,har,True,0.7905,6
AAPL,5,mse,regime_features,True,0.7905,6
AAPL,5,mse,regime_normal,False,0.0575,6
AAPL,5,mse,regime_shrunk,True,0.7905,6
AAPL,5,mse,ridge,True,0.7905,6
AAPL,5,qlike,ewma,True,0.1495,9
AAPL,5,qlike,garch11,True,0.1495,9
AAPL,5,qlike,gbm_gated,True,0.1495,9
AAPL,5,qlike,gbm_pooled,True,0.1495,9
AAPL,5,qlike,har,True,0.1495,9
AAPL,5,qlike,regime_features,True,0.1495,9
AAPL,5,qlike,regime_normal,True,0.1495,9
AAPL,5,qlike,regime_shrunk,True,0.1495,9
AAPL,5,qlike,ridge,True,0.1495,9
AAPL,20,mse,ewma,True,0.4395,9
AAPL,20,mse,garch11,True,0.4395,9
AAPL,20,mse,gbm_gated,True,0.4395,9
AAPL,20,mse,gbm_pooled,True,0.4395,9
