protocol,protocol_label,horizon,target,selection,rmse_regime,rmse_pooled_ridge,improvement_pct,dm_stat,dm_p,n_oos
P0,as-published,1,y_absret_h1,"best-on-test (K=3, soft)",0.007459091626371154,0.007606196563966252,1.9340144099351326,-3.41441410063105,0.0006459401889993277,3771
P1,+ tuned/standardized baseline,1,y_absret_h1,"best-on-test (K=2, soft)",0.007040098757999171,0.00696836392445231,-1.0294358091020537,2.0408466137889403,0.04133558770645829,3771
P2,+ train/test embargo,1,y_absret_h1,"best-on-test (K=2, soft)",0.007041850579131651,0.00696793880761994,-1.060740823827037,2.093681962346614,0.03635496029344898,3771
P3,+ nested selection,1,y_absret_h1,nested (modal K=4),0.007224929893336077,0.00696793880761994,-3.688193780276873,3.186914394859395,0.0014497425954467236,3771
P4,+ realized-vol target,1,y_rv_h1,nested (modal K=4),0.007224929893336077,0.00696793880761994,-3.688193780276873,3.186914394859395,0.0014497425954467236,3771
P0,as-published,5,y_absret_h5,"best-on-test (K=2, soft)",0.007829313531651078,0.0079287631760986,1.254289505673645,-3.2379440726190363,0.001214376338986689,3771
P1,+ tuned/standardized baseline,5,y_absret_h5,"best-on-test (K=2, soft)",0.007565747355745957,0.007537870870811663,-0.36981908302832056,1.542013730420178,0.12315418519634114,3771
P2,+ train/test embargo,5,y_absret_h5,"best-on-test (K=2, soft)",0.007564466902451738,0.0075388068335794515,-0.340373078110865,1.4338756801261885,0.15169067521965984,3771
P3,+ nested selection,5,y_absret_h5,nested (modal K=4),0.007615620145199809,0.0075388068335794515,-1.018905422516127,2.892992823549802,0.003837769247384104,3771
P4,+ realized-vol target,5,y_rv_h5,nested (modal K=3),0.00492505922121733,0.004719030293990542,-4.365916605561018,2.198228434679317,0.027993402435797066,3771
P0,as-published,20,y_absret_h20,"best-on-test (K=2, soft)",0.008202361588092542,0.008254192111012216,0.6279296898181573,-1.333082684774284,0.1825852208187555,3771
P1,+ tuned/standardized baseline,20,y_absret_h20,"best-on-test (K=2, soft)",0.008103516992141912,0.008085168704421919,-0.2269375988401862,0.8994606726257929,0.36846478067749544,3771
P2,+ train/test embargo,20,y_absret_h20,"best-on-test (K=2, soft)",0.008112205875121509,0.008097120217805174,-0.18630892107989414,0.7609264824446037,0.44674856945999153,3771
P3,+ nested selection,20,y_absret_h20,nested (modal K=2),0.008158621758567892,0.008097120217805174,-0.7595483222229917,2.446660306356038,0.014464031250899234,3771
P4,+ realized-vol target,20,y_rv_h20,nested (modal K=2),0.005034804214725476,0.004867099010114743,-3.4456912477475767,3.518377919226218,0.00043932066872476305,3771
